Episode: 0/21, Total reward: 21.0, Total steps: 20, Parameters: epsilon=0.9, lr=0.001.
Episode: 1/21, Total reward: 15.0, Total steps: 14, Parameters: epsilon=0.9, lr=0.001.
Episode: 2/21, Total reward: 20.0, Total steps: 19, Parameters: epsilon=0.9, lr=0.001.
Episode: 3/21, Total reward: 33.0, Total steps: 32, Parameters: epsilon=0.9, lr=0.001.
Episode: 4/21, Total reward: 15.0, Total steps: 14, Parameters: epsilon=0.9, lr=0.001.
Episode: 5/21, Total reward: 39.0, Total steps: 38, Parameters: epsilon=0.9, lr=0.001.
Episode: 6/21, Total reward: 45.0, Total steps: 44, Parameters: epsilon=0.9, lr=0.001.
Episode: 7/21, Total reward: 42.0, Total steps: 41, Parameters: epsilon=0.9, lr=0.001.
Episode: 8/21, Total reward: 21.0, Total steps: 20, Parameters: epsilon=0.9, lr=0.001.
Episode: 9/21, Total reward: 21.0, Total steps: 20, Parameters: epsilon=0.9, lr=0.001.
Episode: 10/21, Total reward: 22.0, Total steps: 21, Parameters: epsilon=0.9, lr=0.001.
Episode: 11/21, Total reward: 26.0, Total steps: 25, Parameters: epsilon=0.9, lr=0.001.
Episode: 12/21, Total reward: 11.0, Total steps: 10, Parameters: epsilon=0.9, lr=0.001.
Episode: 13/21, Total reward: 31.0, Total steps: 30, Parameters: epsilon=0.9, lr=0.001.
Episode: 14/21, Total reward: 20.0, Total steps: 19, Parameters: epsilon=0.9, lr=0.001.
Episode: 15/21, Total reward: 22.0, Total steps: 21, Parameters: epsilon=0.9, lr=0.001.
Episode: 16/21, Total reward: 14.0, Total steps: 13, Parameters: epsilon=0.9, lr=0.001.
Episode: 17/21, Total reward: 46.0, Total steps: 45, Parameters: epsilon=0.9, lr=0.001.
Episode: 18/21, Total reward: 30.0, Total steps: 29, Parameters: epsilon=0.9, lr=0.001.
Episode: 19/21, Total reward: 13.0, Total steps: 12, Parameters: epsilon=0.9, lr=0.001.
Episode: 20/21, Total reward: 16.0, Total steps: 15, Parameters: epsilon=0.9, lr=0.001.
